DEPTH,GR
1.17 ,9.34 
5.56 ,7.89 
0.10 ,8.86 
9.39 ,2.86 
4.02 ,6.45 
4.81 ,5.67 
7.10 ,5.88 
0.50 ,7.46 
8.01 ,4.02 
6.03 ,0.99 
4.11 ,5.12 
2.13 ,9.61 
4.87 ,9.06 
5.74 ,1.61 
3.60 ,8.47 
3.40 ,2.77 
0.96 ,6.52 
2.09 ,5.84 
9.17 ,8.48 
5.30 ,2.50 
1.20 ,1.84 
9.94 ,6.65 
4.18 ,8.13 
3.08 ,3.76 
6.70 ,5.65 
0.44 ,1.09 
5.63 ,3.93 
7.77 ,0.24 
2.98 ,4.32 
0.76 ,5.90 
9.82 ,0.38 
5.90 ,7.57 
9.28 ,0.10 
9.57 ,8.63 
10.00 ,9.46 
9.38 ,9.69 
2.21 ,6.15 
0.21 ,1.26 
3.36 ,0.47 
2.06 ,3.49 
4.91 ,8.77 
9.19 ,9.50 
5.88 ,4.17 
1.24 ,2.51 
4.62 ,8.52 
7.43 ,2.79 
6.39 ,4.96 
9.21 ,8.29 
1.28 ,4.53 
6.98 ,9.50 
5.43 ,5.17 
8.59 ,4.45 
6.27 ,8.20 
9.08 ,0.39 
7.09 ,2.77 
0.70 ,4.39 
6.69 ,5.39 
7.08 ,5.48 
8.42 ,6.88 
8.31 ,4.76 
0.39 ,6.49 
2.68 ,5.90 
5.64 ,5.29 
7.08 ,4.50 
7.35 ,5.72 
5.09 ,4.75 
7.07 ,8.46 
2.22 ,9.40 
8.62 ,1.95 
5.63 ,8.93 
6.92 ,9.76 
7.05 ,6.99 
4.36 ,1.09 
6.57 ,2.22 
0.65 ,7.71 
5.33 ,4.03 
5.20 ,5.26 
6.21 ,6.84 
6.62 ,7.40 
9.89 ,0.87 
8.66 ,9.29 
2.61 ,4.48 
8.34 ,8.92 
2.26 ,2.74 
0.04 ,1.51 
5.78 ,4.98 
4.63 ,0.95 
9.58 ,1.17 
6.63 ,7.84 
0.84 ,7.08 
9.86 ,3.64 
2.92 ,9.21 
0.74 ,4.72 
7.35 ,2.83 
0.51 ,6.77 
8.01 ,7.88 
4.29 ,3.90 
0.93 ,0.56 
3.27 ,6.55 
9.49 ,6.18 
9.22 ,6.30 
5.12 ,9.41 
6.06 ,9.03 
0.75 ,2.43 
8.62 ,0.81 
0.99 ,3.44 
0.61 ,4.43 
3.85 ,8.36 
8.51 ,7.58 
6.20 ,7.49 
9.55 ,6.13 
6.97 ,1.40 
4.22 ,3.37 
5.03 ,9.59 
6.39 ,0.99 
9.93 ,1.57 
3.02 ,8.40 
7.31 ,5.67 
4.68 ,9.29 
0.82 ,7.07 
2.01 ,8.35 
3.60 ,1.70 
9.81 ,0.71 
4.71 ,1.47 
6.72 ,0.35 
0.53 ,6.94 
3.55 ,1.36 
4.94 ,5.34 
2.03 ,6.76 
8.56 ,9.30 
4.06 ,8.63 
8.46 ,3.46 
7.67 ,1.28 
9.31 ,4.83 
4.37 ,6.62 
2.53 ,5.15 
1.68 ,3.61 
6.68 ,2.97 
6.19 ,8.24 
1.81 ,3.08 
0.62 ,7.01 
4.11 ,2.08 
9.06 ,0.33 
0.05 ,1.10 
9.29 ,4.34 
4.51 ,7.64 
8.05 ,1.94 
9.68 ,8.29 
2.69 ,6.67 
7.56 ,0.01 
4.15 ,7.21 
0.45 ,7.16 
4.03 ,4.80 
2.26 ,2.86 
4.18 ,4.66 
8.86 ,0.51 
7.10 ,0.74 
9.53 ,4.52 
9.08 ,3.44 
9.82 ,2.97 
9.35 ,5.82 
8.85 ,7.91 
9.78 ,0.02 
3.29 ,5.53 
9.08 ,2.13 
9.02 ,9.80 
8.27 ,4.19 
2.54 ,9.91 
3.57 ,2.53 
5.03 ,1.81 
0.73 ,0.39 
5.36 ,8.39 
7.78 ,5.48 
6.73 ,8.47 
4.84 ,9.44 
9.73 ,4.96 
1.82 ,5.30 
7.96 ,9.45 
5.03 ,2.44 
4.39 ,8.49 
3.36 ,6.01 
3.95 ,5.49 
1.54 ,0.43 
0.16 ,2.10 
3.08 ,4.56 
7.54 ,1.21 
5.14 ,3.38 
1.68 ,5.72 
4.83 ,4.26 
8.56 ,1.94 
1.47 ,1.28 
1.66 ,1.96 
8.17 ,9.56 
8.12 ,7.80 
4.16 ,6.12 
9.36 ,3.49 
6.72 ,7.39 
9.55 ,1.91 
8.54 ,5.26 
0.31 ,2.52 
5.12 ,0.57 
2.81 ,3.87 
9.71 ,8.52 
2.89 ,1.83 
9.49 ,5.63 
7.52 ,2.06 
2.38 ,5.56 
9.94 ,5.25 
3.46 ,8.06 
3.98 ,3.90 
8.68 ,5.87 
0.95 ,9.33 
9.71 ,7.51 
6.68 ,7.11 
9.15 ,5.15 
6.60 ,7.92 
1.03 ,2.40 
1.94 ,6.90 
5.63 ,7.48 
8.90 ,1.07 
1.14 ,5.23 
3.46 ,0.66 
4.87 ,3.45 
1.37 ,4.03 
5.95 ,5.61 
7.18 ,5.97 
0.09 ,7.93 
8.17 ,5.62 
1.73 ,3.26 
3.73 ,8.02 
0.73 ,8.54 
2.88 ,7.14 
4.51 ,1.75 
9.48 ,6.71 
4.67 ,2.47 
2.66 ,1.33 
3.47 ,7.12 
2.41 ,5.55 
6.14 ,9.64 
8.22 ,6.34 
5.70 ,1.50 
5.02 ,1.38 
0.86 ,8.64 
8.81 ,0.68 
8.37 ,1.09 
1.99 ,8.91 
5.41 ,0.46 
1.74 ,0.85 
5.35 ,6.39 
8.30 ,3.30 
4.77 ,9.02 
9.60 ,0.21 
5.37 ,5.41 
3.55 ,1.76 
3.92 ,5.35 
6.18 ,9.78 
2.04 ,6.59 
9.07 ,9.50 
4.80 ,8.25 
6.51 ,9.48 
5.80 ,7.78 
8.92 ,1.33 
5.98 ,7.01 
1.87 ,0.50 
1.14 ,6.53 
9.09 ,9.89 
4.34 ,5.27 
3.49 ,0.87 
4.86 ,1.02 
9.05 ,3.18 
1.28 ,5.89 
2.45 ,7.59 
1.28 ,2.57 
0.36 ,4.90 
3.85 ,5.73 
6.09 ,5.41 
8.40 ,1.55 
6.35 ,2.15 
6.11 ,5.83 
5.81 ,9.89 
4.19 ,2.16 
3.68 ,1.42 
3.06 ,1.59 
6.31 ,0.34 
7.16 ,4.77 
7.57 ,4.16 
2.00 ,3.68 
8.37 ,4.68 
7.73 ,3.52 
4.00 ,7.53 
3.78 ,1.11 
2.00 ,3.63 
4.93 ,5.39 
5.68 ,8.79 
9.08 ,0.72 
1.28 ,6.57 
9.57 ,7.13 
7.67 ,3.66 
6.98 ,1.30 
4.91 ,0.76 
7.19 ,3.75 
6.97 ,7.98 
2.64 ,3.40 
1.80 ,3.22 
3.16 ,8.75 
8.45 ,2.97 
5.73 ,3.40 
3.98 ,6.79 
2.74 ,0.89 
3.28 ,4.54 
4.45 ,9.09 
5.78 ,1.85 
1.00 ,1.76 
7.38 ,8.19 
9.93 ,3.78 
4.90 ,3.62 
1.63 ,1.49 
9.89 ,7.56 
8.91 ,0.67 
0.39 ,0.90 
6.14 ,8.65 
9.10 ,4.68 
4.05 ,3.99 
4.13 ,1.42 
2.68 ,1.19 
2.20 ,7.79 
0.61 ,7.81 
9.41 ,0.10 
7.68 ,9.67 
6.18 ,7.12 
2.55 ,3.64 
3.25 ,6.88 
9.74 ,2.49 
5.94 ,7.96 
0.42 ,3.91 
6.13 ,9.41 
7.81 ,2.38 
3.22 ,7.19 
9.62 ,7.41 
6.53 ,5.57 
8.34 ,2.47 
6.34 ,5.38 
7.44 ,8.37 
0.97 ,7.74 
5.65 ,7.60 
3.08 ,4.52 
2.87 ,1.70 
7.57 ,2.10 
4.16 ,2.79 
0.09 ,7.24 
5.11 ,0.34 
4.81 ,9.64 
9.24 ,8.80 
3.47 ,5.59 
8.01 ,0.37 
3.64 ,3.33 
5.08 ,7.58 
7.95 ,4.67 
4.68 ,7.82 
3.48 ,0.43 
5.40 ,0.74 
3.68 ,4.06 
4.39 ,2.39 
6.61 ,3.76 
4.58 ,0.79 
8.25 ,1.48 
1.97 ,0.27 
2.82 ,2.98 
5.68 ,5.54 
2.53 ,7.19 
1.08 ,6.69 
5.51 ,7.94 
0.43 ,5.28 
9.88 ,1.28 
9.15 ,6.49 
3.66 ,6.44 
2.41 ,0.61 
4.98 ,1.37 
2.72 ,9.77 
1.19 ,1.18 
6.90 ,6.60 
3.38 ,6.78 
9.13 ,6.12 
2.12 ,6.95 
0.86 ,7.04 
9.97 ,1.77 
1.84 ,0.25 
3.08 ,0.26 
5.01 ,9.61 
7.76 ,5.29 
2.51 ,3.40 
5.73 ,8.57 
9.07 ,4.15 
1.03 ,1.87 
5.75 ,8.78 
2.83 ,6.14 
4.59 ,5.85 
3.75 ,7.08 
4.38 ,6.53 
4.27 ,0.17 
0.92 ,9.56 
6.01 ,4.56 
5.42 ,3.55 
4.41 ,5.95 
3.02 ,2.49 
8.62 ,5.25 
6.12 ,6.18 
2.31 ,1.84 
2.95 ,2.85 
6.51 ,6.42 
3.09 ,7.70 
2.31 ,6.02 
3.78 ,3.17 
4.39 ,3.52 
0.67 ,3.39 
0.65 ,7.35 
5.51 ,3.30 
6.54 ,2.53 
9.64 ,2.61 
7.41 ,5.57 
0.75 ,5.35 
4.84 ,9.75 
8.65 ,1.78 
1.20 ,4.34 
4.11 ,8.60 
3.05 ,7.88 
0.94 ,0.55 
2.84 ,6.50 
2.14 ,7.97 
6.99 ,9.55 
8.40 ,6.21 
5.66 ,4.72 
9.79 ,6.56 
8.42 ,1.20 
9.92 ,8.79 
5.32 ,8.20 
7.17 ,6.45 
9.90 ,0.52 
8.05 ,5.11 
0.84 ,2.89 
5.54 ,7.36 
8.61 ,0.22 
1.30 ,0.58 
7.18 ,5.11 
8.63 ,3.09 
8.49 ,2.87 
8.59 ,4.68 
0.72 ,0.20 
4.22 ,6.24 
7.56 ,3.46 
2.00 ,1.59 
7.12 ,0.19 
5.55 ,6.98 
2.35 ,2.46 
8.89 ,0.31 
2.51 ,8.37 
8.32 ,4.44 
1.15 ,0.35 
3.82 ,9.80 
0.22 ,2.31 
4.07 ,2.16 
9.32 ,6.13 
0.91 ,7.76 
9.64 ,6.37 
2.56 ,1.43 
8.31 ,3.83 
1.99 ,1.59 
3.09 ,5.04 
5.12 ,9.45 
0.46 ,7.48 
8.29 ,8.40 
7.17 ,9.89 
6.41 ,8.52 
1.39 ,4.43 
6.13 ,2.60 
0.66 ,5.22 
5.21 ,8.64 
7.09 ,0.07 
7.77 ,6.02 
4.33 ,2.75 
1.01 ,6.37 
0.84 ,2.35 
0.84 ,0.51 
5.64 ,0.19 
0.42 ,5.58 
5.80 ,4.52 
8.47 ,2.58 
0.59 ,9.24 
8.06 ,0.40 
9.13 ,6.38 
0.50 ,9.19 
5.19 ,6.28 
8.31 ,7.25 
9.28 ,0.25 
0.15 ,9.29 
5.22 ,6.19 
3.27 ,2.06 
5.42 ,8.38 
5.19 ,0.88 
1.92 ,6.32 
4.89 ,2.57 
6.49 ,2.11 
5.77 ,0.22 
2.43 ,4.41 
9.40 ,5.16 
2.41 ,9.38 
7.66 ,5.77 
7.15 ,2.78 
2.30 ,6.11 
1.78 ,4.69 
9.99 ,1.67 
3.51 ,2.95 
8.58 ,7.93 
6.25 ,3.96 
6.51 ,8.33 
7.05 ,6.23 
8.80 ,6.13 
2.62 ,4.24 
0.45 ,8.49 
8.23 ,6.48 
2.69 ,3.42 
0.32 ,2.13 
8.46 ,5.73 
4.98 ,1.02 
1.32 ,1.19 
7.44 ,2.35 
0.76 ,7.87 
0.52 ,7.84 
9.94 ,6.51 
6.01 ,0.65 
5.93 ,9.07 
7.63 ,1.06 
4.17 ,1.98 
0.55 ,6.97 
9.49 ,3.01 
2.80 ,8.33 
8.07 ,1.69 
2.29 ,8.37 
4.11 ,6.59 
1.23 ,2.70 
0.67 ,1.81 
9.44 ,0.63 
6.61 ,4.11 
1.94 ,6.53 
6.04 ,1.03 
2.54 ,8.24 
3.78 ,1.69 
0.03 ,3.49 
3.60 ,0.98 
0.76 ,6.58 
7.58 ,5.15 
3.05 ,1.31 
9.46 ,2.71 
1.49 ,5.43 
4.80 ,2.05 
4.32 ,2.66 
9.25 ,7.48 
2.45 ,6.52 
8.59 ,1.81 
6.81 ,7.82 
0.30 ,2.85 
0.87 ,9.11 
9.95 ,9.60 
7.95 ,0.64 
5.49 ,7.09 
0.45 ,6.20 
0.54 ,4.63 
9.42 ,7.03 
2.57 ,5.48 
8.30 ,1.47 
0.44 ,6.78 
5.93 ,7.97 
2.47 ,1.03 
7.80 ,8.03 
3.43 ,8.40 
6.45 ,8.04 
9.17 ,4.56 
10.00 ,0.53 
2.92 ,8.75 
2.04 ,1.77 
7.82 ,6.54 
5.07 ,0.96 
3.30 ,3.96 
8.30 ,7.73 
8.57 ,8.14 
6.40 ,5.23 
7.76 ,7.61 
6.93 ,6.91 
8.44 ,7.65 
1.52 ,7.57 
8.29 ,2.86 
9.50 ,8.37 
3.35 ,3.19 
1.97 ,3.08 
3.88 ,7.83 
7.01 ,5.31 
8.90 ,2.28 
5.00 ,3.38 
3.14 ,6.06 
1.30 ,8.60 
1.57 ,2.23 
1.77 ,3.60 
7.26 ,1.08 
6.45 ,9.23 
2.29 ,9.91 
7.05 ,7.40 
2.37 ,7.35 
0.99 ,9.73 
5.32 ,9.66 
8.95 ,5.56 
1.42 ,7.52 
7.61 ,9.06 
9.44 ,6.16 
2.63 ,5.89 
9.93 ,7.87 
9.38 ,1.67 
4.71 ,1.30 
2.52 ,0.90 
1.03 ,5.25 
3.62 ,6.15 
6.77 ,1.82 
8.36 ,4.40 
7.69 ,5.90 
8.06 ,1.88 
1.99 ,1.13 
1.20 ,1.64 
7.02 ,8.44 
5.71 ,2.31 
0.32 ,6.32 
5.38 ,3.03 
9.70 ,5.75 
4.59 ,2.97 
2.13 ,4.88 
3.73 ,9.94 
0.79 ,7.53 
4.20 ,7.62 
2.63 ,0.25 
4.73 ,2.86 
8.52 ,0.15 
7.69 ,4.77 
8.25 ,8.12 
9.46 ,5.09 
4.27 ,2.04 
3.55 ,4.23 
9.30 ,5.19 
5.44 ,6.43 
9.51 ,3.96 
6.41 ,5.59 
3.29 ,9.38 
5.53 ,2.29 
1.34 ,7.49 
1.00 ,4.27 
5.91 ,9.92 
1.22 ,6.54 
1.25 ,6.99 
3.04 ,9.98 
0.28 ,3.93 
5.35 ,5.96 
8.04 ,0.75 
1.96 ,9.95 
2.85 ,0.39 
4.36 ,0.64 
4.18 ,4.15 
8.45 ,7.01 
3.74 ,4.49 
9.46 ,7.95 
8.44 ,2.05 
0.13 ,2.43 
9.17 ,2.71 
4.34 ,8.88 
1.62 ,9.45 
8.73 ,7.70 
5.86 ,0.67 
7.95 ,0.07 
0.10 ,5.26 
5.52 ,1.30 
2.58 ,3.85 
4.53 ,5.17 
1.08 ,9.95 
0.48 ,7.97 
4.29 ,3.45 
8.53 ,8.37 
0.48 ,7.91 
8.13 ,0.69 
7.65 ,0.06 
4.07 ,8.48 
2.19 ,1.01 
9.64 ,1.23 
6.45 ,2.75 
8.87 ,3.46 
8.32 ,0.96 
3.77 ,5.32 
0.78 ,4.92 
7.13 ,6.24 
1.68 ,0.90 
1.37 ,0.52 
6.48 ,5.78 
3.65 ,2.30 
5.85 ,7.35 
6.07 ,2.16 
8.69 ,3.25 
6.37 ,6.28 
4.18 ,4.84 
0.90 ,7.44 
0.84 ,9.33 
3.77 ,5.28 
1.72 ,4.27 
5.61 ,6.39 
1.68 ,7.07 
0.74 ,9.20 
9.33 ,2.13 
4.21 ,9.74 
9.12 ,3.46 
8.92 ,0.24 
2.65 ,6.09 
2.45 ,6.08 
3.07 ,3.81 
6.77 ,1.70 
6.99 ,2.86 
9.36 ,2.26 
1.75 ,5.89 
8.11 ,5.93 
2.54 ,9.36 
7.24 ,2.35 
5.05 ,8.47 
6.61 ,8.02 
2.69 ,6.53 
3.50 ,0.64 
9.24 ,3.03 
3.75 ,8.14 
5.01 ,8.09 
5.22 ,6.49 
6.73 ,5.99 
6.59 ,5.13 
6.13 ,4.23 
9.03 ,4.76 
4.08 ,1.42 
2.63 ,1.44 
4.75 ,2.58 
3.16 ,0.11 
1.50 ,0.53 
2.51 ,3.21 
5.28 ,5.46 
3.99 ,3.51 
1.67 ,2.94 
5.97 ,0.99 
6.30 ,6.53 
4.93 ,9.19 
5.99 ,0.39 
5.65 ,6.99 
5.40 ,1.45 
0.56 ,4.87 
0.45 ,3.03 
0.10 ,4.87 
1.21 ,3.82 
0.68 ,5.82 
6.64 ,4.61 
6.84 ,9.61 
3.40 ,5.93 
3.62 ,7.40 
5.24 ,1.81 
2.86 ,6.81 
8.43 ,8.68 
8.54 ,5.73 
1.68 ,8.13 
8.06 ,0.29 
1.35 ,3.31 
3.12 ,2.59 
4.90 ,7.45 
0.78 ,1.87 
5.45 ,4.94 
9.84 ,0.37 
1.42 ,3.53 
2.62 ,2.67 
0.06 ,5.21 
4.53 ,3.18 
6.89 ,5.49 
5.55 ,4.60 
8.49 ,1.68 
0.49 ,1.87 
3.12 ,0.72 
4.64 ,2.06 
8.69 ,1.89 
8.74 ,5.30 
6.33 ,2.65 
8.10 ,5.92 
1.84 ,5.90 
4.66 ,1.78 
3.84 ,8.56 
10.00 ,4.42 
8.03 ,7.20 
6.97 ,1.17 
6.23 ,6.90 
7.17 ,7.65 
0.48 ,5.83 
9.20 ,0.50 
1.73 ,8.16 
4.82 ,9.48 
4.10 ,0.47 
0.99 ,9.48 
8.96 ,7.05 
8.40 ,8.21 
2.27 ,7.91 
8.96 ,8.27 
2.32 ,8.82 
0.22 ,3.64 
2.92 ,1.28 
6.36 ,6.41 
3.48 ,0.39 
5.13 ,3.05 
9.42 ,3.85 
6.73 ,7.77 
5.78 ,4.40 
2.85 ,8.32 
3.44 ,9.16 
8.07 ,3.83 
4.34 ,5.34 
1.39 ,2.20 
6.77 ,2.53 
2.40 ,4.32 
3.86 ,1.93 
7.51 ,2.00 
8.29 ,0.13 
9.04 ,2.82 
9.01 ,2.91 
1.30 ,0.68 
2.77 ,7.99 
3.28 ,1.71 
3.23 ,7.88 
7.72 ,1.85 
1.47 ,5.33 
2.68 ,5.98 
9.19 ,2.68 
8.00 ,7.90 
3.09 ,7.25 
3.88 ,4.95 
2.61 ,8.50 
2.85 ,7.45 
6.61 ,4.85 
5.82 ,0.88 
7.97 ,6.89 
4.46 ,5.10 
7.79 ,2.60 
3.00 ,1.19 
1.69 ,2.43 
6.00 ,1.88 
5.03 ,5.02 
1.26 ,4.71 
6.53 ,6.85 
0.30 ,1.31 
6.34 ,2.31 
6.33 ,5.20 
7.32 ,9.85 
2.83 ,8.23 
1.79 ,3.64 
6.35 ,8.02 
1.40 ,2.20 
0.75 ,2.83 
5.61 ,9.73 
5.60 ,4.74 
5.00 ,0.40 
1.88 ,3.17 
5.20 ,8.92 
6.16 ,0.35 
0.79 ,7.24 
5.34 ,4.22 
1.86 ,9.60 
5.88 ,2.61 
3.06 ,0.12 
6.63 ,6.87 
8.01 ,4.04 
3.14 ,1.31 
6.77 ,1.89 
1.90 ,7.02 
6.67 ,1.84 
2.46 ,4.65 
0.22 ,7.09 
4.22 ,1.88 
2.33 ,1.83 
3.21 ,4.55 
4.71 ,3.86 
8.98 ,4.25 
6.64 ,9.45 
8.76 ,0.60 
3.95 ,4.21 
8.54 ,9.65 
1.74 ,5.88 
4.60 ,5.19 
0.77 ,7.76 
3.09 ,1.24 
5.77 ,5.66 
2.01 ,4.91 
7.91 ,9.25 
2.75 ,7.76 
4.93 ,5.52 
5.30 ,4.21 
5.89 ,2.19 
1.07 ,4.53 
4.21 ,3.68 
4.22 ,2.91 
8.14 ,9.92 
4.16 ,0.62 
5.61 ,5.78 
9.21 ,4.87 
8.42 ,8.17 
4.43 ,7.38 
6.56 ,9.83 
7.35 ,8.77 
0.28 ,4.36 
2.49 ,4.16 
0.28 ,3.08 
3.02 ,1.14 
8.45 ,6.82 
3.17 ,4.27 
0.94 ,2.65 
7.28 ,0.66 
9.87 ,0.17 
8.75 ,2.06 
0.92 ,8.59 
10.00 ,0.03 
8.58 ,0.18 
2.66 ,6.49 
4.61 ,7.09 
9.31 ,5.83 
3.58 ,0.17 
4.40 ,8.42 
2.40 ,6.93 
2.60 ,9.70 
2.46 ,3.37 
5.80 ,1.28 
2.76 ,3.85 
1.06 ,7.57 
9.39 ,0.19 
9.31 ,8.37 
5.80 ,7.25 
5.55 ,7.95 
5.37 ,2.65 
2.40 ,2.16 
5.05 ,3.93 
3.51 ,0.50 
7.64 ,4.43 
8.51 ,4.22 
9.35 ,1.86 
7.83 ,0.42 
8.89 ,7.00 
5.79 ,1.40 
7.64 ,3.89 
9.45 ,4.84 
8.98 ,3.21 
0.71 ,8.36 
7.19 ,6.53 
6.38 ,1.18 
7.39 ,1.70 
0.35 ,4.36 
3.28 ,5.97 
9.24 ,7.42 
1.49 ,7.05 
4.64 ,5.51 
1.76 ,5.63 
1.76 ,5.18 
6.19 ,2.88 
5.21 ,2.76 
4.46 ,1.14 
0.41 ,8.47 
9.71 ,8.15 
9.16 ,5.76 
1.44 ,2.37 
8.18 ,2.32 
2.29 ,3.70 
0.82 ,0.90 
4.32 ,1.22 
4.19 ,6.38 
0.78 ,4.02 
1.00 ,6.44 
4.44 ,8.81 
7.15 ,5.94 
6.88 ,3.44 
5.70 ,5.29 
1.96 ,5.11 
4.32 ,2.42 
9.95 ,4.43 
0.22 ,3.03 
3.02 ,7.02 
0.02 ,7.01 
4.18 ,8.08 
6.99 ,1.38 
3.24 ,1.17 
6.73 ,4.64 
7.16 ,6.30 
2.27 ,4.83 
3.33 ,0.07 
4.59 ,7.33 
3.86 ,8.14 
0.98 ,1.77 
0.97 ,3.00 
0.37 ,5.78 
5.15 ,0.24 
0.30 ,6.41 
1.09 ,0.66 
5.78 ,7.75 
0.78 ,2.58 
8.80 ,2.66 
8.03 ,4.97 
1.17 ,4.54 
9.50 ,5.02 
4.43 ,8.08 
8.57 ,1.64 
0.20 ,8.78 
6.79 ,5.99 
6.07 ,6.90 
5.77 ,7.02 
2.48 ,6.39 
6.01 ,4.36 
1.44 ,2.26 
6.22 ,4.52 
0.85 ,5.93 
8.60 ,9.24 
4.34 ,2.58 
5.33 ,4.33 
9.86 ,4.52 
6.17 ,2.32 
2.96 ,7.41 
0.33 ,5.14 
3.65 ,1.57 
1.09 ,3.42 
0.13 ,2.74 
3.80 ,3.21 
7.68 ,9.76 
5.57 ,9.95 
9.82 ,5.91 
